NAME,POSITION,TEAM,SALARY,SALARY2
LeBron James,SF,Cleveland Cavaliers,30963450,30.96345
Mike Conley,PG,Memphis Grizzlies,26540100,26.5401
Al Horford,C,Boston Celtics,26540100,26.5401
Dirk Nowitzki,PF,Dallas Mavericks,25e6,25
Carmelo Anthony,SF,New York Knicks,24559380,24.55938
Damian Lillard,PG,Portland Trail Blazers,24328425,24.328425
Chris Bosh,PF,Miami Heat,23741060,23.74106
Dwyane Wade,SG,Chicago Bulls,232e5,23.2
Dwight Howard,C,Atlanta Hawks,23180275,23.180275
Chris Paul,PG,Los Angeles Clippers,22868827,22.868827
Chandler Parsons,SF,Memphis Grizzlies,22116750,22.11675
Bradley Beal,SG,Washington Wizards,22116750,22.11675
Anthony Davis,PF,New Orleans Pelicans,22116750,22.11675
Derrick Rose,PG,New York Knicks,21323252,21.323252
Marc Gasol,C,Memphis Grizzlies,21165675,21.165675
Brook Lopez,C,Brooklyn Nets,21165675,21.165675
Kevin Love,PF,Cleveland Cavaliers,21165675,21.165675
Nicolas Batum,SG,Charlotte Hornets,20869566,20.869566
LaMarcus Aldridge,PF,San Antonio Spurs,20575005,20.575005
Blake Griffin,PF,Los Angeles Clippers,20140839,20.140839
Paul Millsap,PF,Atlanta Hawks,20072033,20.072033
Ryan Anderson,PF,Houston Rockets,18735364,18.735364
Allen Crabbe,SG,Portland Trail Blazers,185e5,18.5
Paul George,SF,Indiana Pacers,18314532,18.314532
Luol Deng,SF,Los Angeles Lakers,18e6,18
Kawhi Leonard,SF,San Antonio Spurs,17638063,17.638063
Kyrie Irving,PG,Cleveland Cavaliers,17638063,17.638063
Jimmy Butler,SG,Chicago Bulls,17552209,17.552209
Tobias Harris,SF,Detroit Pistons,172e5,17.2
Enes Kanter,C,Oklahoma City Thunder,17145838,17.145838
Greg Monroe,C,Milwaukee Bucks,17145838,17.145838
Wesley Matthews,SG,Dallas Mavericks,17145838,17.145838
Bismack Biyombo,C,Orlando Magic,17e6,17
Evan Fournier,SG,Orlando Magic,17e6,17
Joakim Noah,C,New York Knicks,17e6,17
John Wall,PG,Washington Wizards,16957900,16.9579
DeMarcus Cousins,C,Sacramento Kings,16957900,16.9579
Klay Thompson,SG,Golden State Warriors,16663575,16.663575
Evan Turner,SG,Portland Trail Blazers,16393443,16.393443
Gordon Hayward,SF,Utah Jazz,16073140,16.07314
Timofey Mozgov,C,Los Angeles Lakers,16e6,16
Ian Mahinmi,C,Washington Wizards,15944154,15.944154
Goran Dragic,PG,Miami Heat,15891725,15.891725
Kent Bazemore,SF,Atlanta Hawks,15730338,15.730338
Pau Gasol,C,San Antonio Spurs,155e5,15.5
Draymond Green,PF,Golden State Warriors,15330435,15.330435
Tristan Thompson,C,Cleveland Cavaliers,15330435,15.330435
Khris Middleton,SG,Milwaukee Bucks,152e5,15.2
Danilo Gallinari,SF,Denver Nuggets,1505e4,15.05
Jeff Green,SF,Orlando Magic,15e6,15
Reggie Jackson,PG,Detroit Pistons,14956522,14.956522
Tony Parker,PG,San Antonio Spurs,14445313,14.445313
Jonas Valanciunas,C,Toronto Raptors,14382023,14.382023
DeMarre Carroll,SF,Toronto Raptors,142e5,14.2
Thaddeus Young,PF,Indiana Pacers,14153652,14.153652
Manu Ginobili,SG,San Antonio Spurs,14e6,14
Eric Bledsoe,PG,Phoenix Suns,14e6,14
Rajon Rondo,PG,Chicago Bulls,14e6,14
Ricky Rubio,PG,Minnesota Timberwolves,1355e4,13.55
Rudy Gay,SF,Sacramento Kings,13333333,13.333333
Jamal Crawford,SG,Los Angeles Clippers,13253012,13.253012
Robin Lopez,C,Chicago Bulls,13219250,13.21925
Michael Kidd-Gilchrist,SF,Charlotte Hornets,13e6,13
JR Smith,SG,Cleveland Cavaliers,128e5,12.8
Brandon Knight,PG,Phoenix Suns,12606250,12.60625
John Henson,PF,Milwaukee Bucks,12517606,12.517606
Jordan Clarkson,PG,Los Angeles Lakers,125e5,12.5
Arron Afflalo,SG,Sacramento Kings,125e5,12.5
Miles Plumlee,C,Charlotte Hornets,125e5,12.5
Tyson Chandler,C,Phoenix Suns,12415e3,12.415
Eric Gordon,SG,Houston Rockets,12385364,12.385364
Marvin Williams,PF,Charlotte Hornets,1225e4,12.25
Serge Ibaka,PF,Toronto Raptors,1225e4,12.25
Stephen Curry,PG,Golden State Warriors,12112359,12.112359
Nikola Pekovic,C,Minnesota Timberwolves,121e5,12.1
Kenneth Faried,PF,Denver Nuggets,12078652,12.078652
Marcin Gortat,C,Washington Wizards,12e6,12
Kemba Walker,PG,Charlotte Hornets,12e6,12
Amir Johnson,PF,Boston Celtics,12e6,12
Nikola Vucevic,C,Orlando Magic,1175e4,11.75
Jeremy Lin,PG,Brooklyn Nets,11483254,11.483254
Jrue Holiday,PG,New Orleans Pelicans,11286518,11.286518
Courtney Lee,SG,New York Knicks,11242e3,11.242
Solomon Hill,SF,New Orleans Pelicans,11241218,11.241218
Wilson Chandler,SF,Denver Nuggets,11233146,11.233146
Andre Iguodala,SF,Golden State Warriors,11131368,11.131368
Derrick Favors,PF,Utah Jazz,1105e4,11.05
Joe Johnson,SF,Utah Jazz,11e6,11
Austin Rivers,PG,Los Angeles Clippers,11e6,11
Jon Leuer,PF,Detroit Pistons,10991957,10.991957
Monta Ellis,SG,Indiana Pacers,10763500,10.7635
Mirza Teletovic,PF,Milwaukee Bucks,105e5,10.5
Jared Dudley,SF,Phoenix Suns,1047e4,10.47
Zach Randolph,PF,Memphis Grizzlies,10361445,10.361445
Al Jefferson,C,Indiana Pacers,10314532,10.314532
Tyreke Evans,SG,Sacramento Kings,10203755,10.203755
Alec Burks,SG,Utah Jazz,10154495,10.154495
Danny Green,SG,San Antonio Spurs,1e7,10
Terrence Ross,SF,Toronto Raptors,1e7,10
Omer Asik,C,New Orleans Pelicans,9904494,9.904494
Iman Shumpert,SG,Cleveland Cavaliers,9662922,9.662922
Matthew Dellavedova,PG,Milwaukee Bucks,9607500,9.6075
Jerryd Bayless,PG,Philadelphia 76ers,9424084,9.424084
Trevor Booker,PF,Brooklyn Nets,925e4,9.25
Meyers Leonard,PF,Portland Trail Blazers,9213483,9.213483
Gerald Henderson,SG,Philadelphia 76ers,9e6,9
Maurice Harkless,SF,Portland Trail Blazers,8988765,8.988765
Taj Gibson,PF,Oklahoma City Thunder,895e4,8.95
Jeff Teague,PG,Indiana Pacers,88e5,8.8
Tiago Splitter,C,Philadelphia 76ers,855e4,8.55
Ersan Ilyasova,PF,Oklahoma City Thunder,84e5,8.4
Dwight Powell,PF,Dallas Mavericks,8375e3,8.375
Avery Bradley,PG,Boston Celtics,8269663,8.269663
E'Twaun Moore,SG,New Orleans Pelicans,8081363,8.081363
Darrell Arthur,PF,Denver Nuggets,8070175,8.070175
Kosta Koufos,C,Sacramento Kings,8046500,8.0465
George Hill,PG,Utah Jazz,8e6,8
Garrett Temple,SG,Sacramento Kings,8e6,8
Sergio Rodriguez,PG,Philadelphia 76ers,8e6,8
Tyler Zeller,C,Boston Celtics,8e6,8
Trevor Ariza,SF,Houston Rockets,7806971,7.806971
Channing Frye,PF,Cleveland Cavaliers,7806971,7.806971
Al-Farouq Aminu,SF,Portland Trail Blazers,7680965,7.680965
Cole Aldrich,C,Minnesota Timberwolves,7643979,7.643979
Corey Brewer,SG,Los Angeles Lakers,7612172,7.612172
Markieff Morris,PF,Washington Wizards,74e5,7.4
Festus Ezeli,C,Portland Trail Blazers,74e5,7.4
JJ Redick,SG,Los Angeles Clippers,7377500,7.3775
Cory Joseph,PG,Toronto Raptors,7315e3,7.315
D.J. Augustin,PG,Orlando Magic,725e4,7.25
Boris Diaw,C,Utah Jazz,7e6,7
Rodney Stuckey,PG,Indiana Pacers,7e6,7
Boban Marjanovic,C,Detroit Pistons,7e6,7
Ed Davis,PF,Portland Trail Blazers,6666667,6.666667
Isaiah Thomas,PG,Boston Celtics,6587132,6.587132
Victor Oladipo,SG,Oklahoma City Thunder,6552961,6.552961
Jodie Meeks,SG,Orlando Magic,654e4,6.54
Jeremy Lamb,SG,Charlotte Hornets,6511628,6.511628
Carl Landry,PF,Philadelphia 76ers,65e5,6.5
Aron Baynes,C,Detroit Pistons,65e5,6.5
Tim Duncan,C,San Antonio Spurs,6393750,6.39375
Spencer Hawes,PF,Charlotte Hornets,6348759,6.348759
Marco Belinelli,SG,Charlotte Hornets,6333333,6.333333
Jae Crowder,SF,Boston Celtics,6286408,6.286408
Lance Thomas,SF,New York Knicks,6191e3,6.191
Tarik Black,C,Los Angeles Lakers,6191e3,6.191
Andrew Nicholson,PF,Washington Wizards,6088993,6.088993
Patrick Patterson,PF,Toronto Raptors,605e4,6.05
Andrew Wiggins,SG,Minnesota Timberwolves,6006600,6.0066
Ramon Sessions,PG,Charlotte Hornets,6e6,6
Wayne Ellington,SG,Miami Heat,6e6,6
Ish Smith,PG,Detroit Pistons,6e6,6
Alex Abrines,SG,Oklahoma City Thunder,5994764,5.994764
Karl-Anthony Towns,C,Minnesota Timberwolves,5960160,5.96016
Ben Simmons,F,Philadelphia 76ers,5903160,5.90316
Otto Porter Jr.,SF,Washington Wizards,5893981,5.893981
Shaun Livingston,PG,Golden State Warriors,5782450,5.78245
Josh McRoberts,PF,Miami Heat,5782450,5.78245
Nikola Mirotic,PF,Chicago Bulls,5782450,5.78245
Brandan Wright,PF,Memphis Grizzlies,5709880,5.70988
Tyler Johnson,SG,Miami Heat,5628e3,5.628
Jared Sullinger,C,Toronto Raptors,5628e3,5.628
Wesley Johnson,SF,Los Angeles Clippers,5628e3,5.628
Tony Allen,SG,Memphis Grizzlies,5505618,5.505618
Luis Scola,PF,Brooklyn Nets,55e5,5.5
Nick Young,SG,Los Angeles Lakers,5443918,5.443918
Jabari Parker,PF,Milwaukee Bucks,5374320,5.37432
D'Angelo Russell,PG,Los Angeles Lakers,5332800,5.3328
Cody Zeller,C,Charlotte Hornets,5318313,5.318313
PJ Tucker,SF,Toronto Raptors,53e5,5.3
Brandon Ingram,F,Los Angeles Lakers,5281680,5.28168
Kyle Korver,SG,Cleveland Cavaliers,5239437,5.239437
Darren Collison,PG,Sacramento Kings,5229454,5.229454
Langston Galloway,SG,Sacramento Kings,52e5,5.2
Brandon Jennings,PG,Washington Wizards,5e6,5
Jason Smith,PF,Washington Wizards,5e6,5
Jonas Jerebko,PF,Boston Celtics,5e6,5
Roy Hibbert,C,Charlotte Hornets,5e6,5
Kyle Singler,SF,Oklahoma City Thunder,4837500,4.8375
Mike Dunleavy,SG,Cleveland Cavaliers,4837500,4.8375
Joel Embiid,C,Philadelphia 76ers,4826160,4.82616
Alex Len,C,Phoenix Suns,4823621,4.823621
Jahlil Okafor,C,Philadelphia 76ers,4788840,4.78884
Jaylen Brown,F,Boston Celtics,4743e3,4.743
Alexis Ajinca,C,New Orleans Pelicans,4638203,4.638203
Marcus Morris,PF,Detroit Pistons,4625e3,4.625
CJ Miles,SF,Indiana Pacers,4583450,4.58345
Jameer Nelson,PG,Denver Nuggets,4540525,4.540525
Nerlens Noel,PF,Philadelphia 76ers,4384490,4.3844900000000004
Aaron Gordon,PF,Orlando Magic,4351320,4.35132
Greivis Vasquez,PG,Brooklyn Nets,4347826,4.347826
Kristaps Porzingis,PF,New York Knicks,4317720,4.31772
Dragan Bender,PF,Phoenix Suns,4276320,4.27632
Vince Carter,SG,Memphis Grizzlies,4264057,4.264057
Devin Harris,PG,Dallas Mavericks,4227996,4.227996
J.J. Barea,PG,Dallas Mavericks,4096950,4.09695
Ben McLemore,SG,Sacramento Kings,4008882,4.008882
Udonis Haslem,PF,Miami Heat,4e6,4
James Johnson,PF,Miami Heat,4e6,4
Leandro Barbosa,SG,Phoenix Suns,4e6,4
Jordan Hill,C,Minnesota Timberwolves,4e6,4
Kris Humphries,PF,Atlanta Hawks,4e6,4
Dante Exum,PG,Utah Jazz,3940320,3.94032
Kyle O'Quinn,C,New York Knicks,3918750,3.91875
Mario Hezonja,SG,Orlando Magic,3909840,3.90984
Kris Dunn,PG,Minnesota Timberwolves,3872520,3.87252
Thabo Sefolosha,SF,Atlanta Hawks,385e4,3.85
Nemanja Bjelica,PF,Minnesota Timberwolves,38e5,3.8
Nick Collison,PF,Oklahoma City Thunder,375e4,3.75
Bojan Bogdanovic,SG,Washington Wizards,3730653,3.730653
Kentavious Caldwell-Pope,SG,Detroit Pistons,3678319,3.678319
Quincy Pondexter,SG,New Orleans Pelicans,3617978,3.617978
Patty Mills,PG,San Antonio Spurs,3578948,3.578948
Marcus Smart,PG,Boston Celtics,3578880,3.57888
Willie Cauley-Stein,C,Sacramento Kings,3551160,3.55116
Drew Gooden,PF,Washington Wizards,3547e3,3.547
Will Barton,SG,Denver Nuggets,3533333,3.533333
Paul Pierce,SF,Los Angeles Clippers,3527920,3.52792
Buddy Hield,SG,Sacramento Kings,3517200,3.5172
Brandon Rush,SG,Minnesota Timberwolves,35e5,3.5
Mike Miller,SG,Denver Nuggets,35e5,3.5
Anthony Morrow,SG,Oklahoma City Thunder,3488e3,3.488
Trey Burke,PG,Washington Wizards,3386598,3.386598
Mike Scott,PF,Atlanta Hawks,3333334,3.333334
KJ McDaniels,SG,Brooklyn Nets,3333333,3.333333
Troy Daniels,SG,Memphis Grizzlies,3332940,3.33294
Julius Randle,PF,Los Angeles Lakers,3267120,3.26712
Emmanuel Mudiay,PG,Denver Nuggets,3241800,3.2418
CJ McCollum,SG,Portland Trail Blazers,3219579,3.219579
Jamal Murray,G,Denver Nuggets,3210840,3.21084
Michael Carter-Williams,PG,Chicago Bulls,3183526,3.183526
Steven Adams,C,Oklahoma City Thunder,3140517,3.140517
Kelly Olynyk,C,Boston Celtics,3094014,3.094014
Shabazz Muhammad,SF,Minnesota Timberwolves,3046299,3.046299
Justin Hamilton,C,Brooklyn Nets,3e6,3
Tibor Pleiss,C,Philadelphia 76ers,3e6,3
Giannis Antetokounmpo,SF,Milwaukee Bucks,2995421,2.995421
Nik Stauskas,SG,Philadelphia 76ers,2993040,2.99304
Dante Cunningham,PF,New Orleans Pelicans,2978250,2.97825
Stanley Johnson,SF,Detroit Pistons,2969880,2.96988
Marquese Chriss,F,Phoenix Suns,2941440,2.94144
Dion Waiters,SG,Miami Heat,2898e3,2.898
James Ennis III,SF,Memphis Grizzlies,2898e3,2.898
Nene Hilario,C,Houston Rockets,2898e3,2.898
Mindaugas Kuzminskas,F,New York Knicks,2898e3,2.898
Dewayne Dedmon,C,San Antonio Spurs,2898e3,2.898
Tomas Satoransky,SG,Washington Wizards,2870813,2.870813
Noah Vonleh,PF,Portland Trail Blazers,2751360,2.75136
Frank Kaminsky,C,Charlotte Hornets,273e4,2.73
Dennis Schroder,PG,Atlanta Hawks,2708582,2.708582
Jakob Poeltl,C,Toronto Raptors,2703960,2.70396
Aaron Brooks,PG,Indiana Pacers,27e5,2.7
Elfrid Payton,PG,Orlando Magic,2613600,2.6136
Justise Winslow,SF,Miami Heat,2593440,2.59344
Thon Maker,PF,Milwaukee Bucks,2568600,2.5686
Randy Foye,SG,Brooklyn Nets,25e5,2.5
Malcolm Delaney,G,Atlanta Hawks,25e5,2.5
Doug McDermott,SF,Oklahoma City Thunder,2483040,2.48304
Myles Turner,C,Indiana Pacers,2463840,2.46384
Domantas Sabonis,PF,Oklahoma City Thunder,2440200,2.4402
Shelvin Mack,PG,Utah Jazz,2433334,2.433334
Tony Snell,SF,Milwaukee Bucks,2368327,2.368327
Gorgui Dieng,PF,Minnesota Timberwolves,2348783,2.348783
Trey Lyles,PF,Utah Jazz,2340600,2.3406
Mason Plumlee,C,Portland Trail Blazers,2328530,2.32853
Dario Saric,SF,Philadelphia 76ers,2318280,2.31828
Taurean Prince,SF,Atlanta Hawks,2318280,2.31828
Tim Hardaway Jr.,SG,Atlanta Hawks,2281605,2.281605
Reggie Bullock,SF,Detroit Pistons,2255644,2.255644
Zach LaVine,PG,Minnesota Timberwolves,2240880,2.24088
Devin Booker,SG,Phoenix Suns,2223600,2.2236
Luc Mbah a Moute,PF,Los Angeles Clippers,2203e3,2.203
Georgios Papagiannis,C,Sacramento Kings,2202240,2.20224
Mo Williams,PG,Denver Nuggets,2194500,2.1945
Andre Roberson,SG,Oklahoma City Thunder,2183072,2.183072
Joe Ingles,SF,Utah Jazz,215e4,2.15
TJ Warren,SF,Phoenix Suns,2128920,2.12892
Rudy Gobert,C,Utah Jazz,2121288,2.121288
Cameron Payne,PG,Oklahoma City Thunder,2112480,2.11248
Denzel Valentine,SG,Chicago Bulls,2092200,2.0922
Tim Frazier,PG,New Orleans Pelicans,209e4,2.09
Kendall Marshall,PG,Utah Jazz,2048257,2.048257
Adreian Payne,PF,Minnesota Timberwolves,2022240,2.02224
Kelly Oubre Jr.,SF,Washington Wizards,2006640,2.00664
Juan Hernangomez,PF,Denver Nuggets,1987440,1.98744
Lucas Nogueira,C,Toronto Raptors,1921320,1.92132
Jusuf Nurkic,C,Portland Trail Blazers,1921320,1.92132
Terry Rozier,PG,Boston Celtics,1906440,1.90644
James Young,SG,Boston Celtics,1825200,1.8252
Rashad Vaughn,SG,Milwaukee Bucks,1811040,1.81104
Kevin Seraphin,C,Indiana Pacers,18e5,1.8
Wade Baldwin IV,PG,Memphis Grizzlies,1793760,1.79376
Quincy Acy,SF,Brooklyn Nets,1790092,1.790092
Tyler Ennis,PG,Los Angeles Lakers,1733880,1.73388
Sam Dekker,SF,Houston Rockets,1720560,1.72056
Joffrey Lauvergne,C,Oklahoma City Thunder,1709719,1.709719
Henry Ellenson,F,Detroit Pistons,1704120,1.70412
Gary Harris,SG,Denver Nuggets,1655880,1.65588
Jerian Grant,PG,Chicago Bulls,1643040,1.64304
Malik Beasley,SG,Denver Nuggets,1627320,1.62732
Bruno Caboclo,SF,Toronto Raptors,1589640,1.58964
Delon Wright,PG,Toronto Raptors,1577280,1.57728
Caris LeVert,SG,Brooklyn Nets,1562280,1.56228
David Lee,PF,San Antonio Spurs,1551659,1.551659
Caron Butler,SF,Sacramento Kings,1551659,1.551659
Mitch McGary,PF,Oklahoma City Thunder,1526040,1.52604
Justin Anderson,SG,Philadelphia 76ers,1514160,1.51416
Marcelo Huertas,PG,Los Angeles Lakers,15e5,1.5
DeAndre' Bembry,SF,Atlanta Hawks,1499760,1.49976
Jordan Adams,SG,Memphis Grizzlies,1465080,1.46508
Bobby Portis,PF,Chicago Bulls,1453680,1.45368
Demetrius Jackson,G,Boston Celtics,145e4,1.45
Malachi Richardson,SG,Sacramento Kings,1439800,1.4398
Rodney Hood,SG,Utah Jazz,1406520,1.40652
Marreese Speights,C,Los Angeles Clippers,1403611,1.403611
Michael Beasley,SF,Milwaukee Bucks,1403611,1.403611
JaVale McGee,C,Golden State Warriors,1403611,1.403611
Rondae Hollis-Jefferson,SG,Brooklyn Nets,1395600,1.3956
Deyonta Davis,F,Memphis Grizzlies,1369299,1.369299
Nikola Jokic,C,Denver Nuggets,1358500,1.3585
DeAndre Liggins,SG,Los Angeles Clippers,1577230,1.57723
Archie Goodwin,SG,Brooklyn Nets,1577230,1.57723
Ryan Kelly,PF,Atlanta Hawks,1577230,1.57723
Troy Williams,SF,Houston Rockets,1575133,1.575133
DeAndre' Bembry,SF,Atlanta Hawks,1567200,1.5672
Caron Butler,SF,Sacramento Kings,1551659,1.551659
Mitch McGary,PF,Oklahoma City Thunder,1526040,1.52604
Sean Kilpatrick,SG,Brooklyn Nets,1524305,1.524305
Johnny O'Bryant III,PF,Charlotte Hornets,1524305,1.524305
Joffrey Lauvergne,C,San Antonio Spurs,1524305,1.524305
Glenn Robinson III,SG,Indiana Pacers,1524305,1.524305
Bobby Portis,PF,Chicago Bulls,1516320,1.51632
Malachi Richardson,SG,Sacramento Kings,1504560,1.50456
Marcelo Huertas,PG,Houston Rockets,15e5,1.5
Jarell Martin,PF,Memphis Grizzlies,1471382,1.471382
Mario Chalmers,PG,Memphis Grizzlies,1471382,1.471382
Briante Weber,PG,Charlotte Hornets,1471382,1.471382
Tyus Jones,PG,Minnesota Timberwolves,1471382,1.471382
Rakeem Christmas,PF,Indiana Pacers,1471382,1.471382
Josh Richardson,SG,Miami Heat,1471382,1.471382
Pat Connaughton,SG,Portland Trail Blazers,1471382,1.471382
Jordan Mickey,PF,Boston Celtics,1471382,1.471382
Caleb Swanigan,PF,Portland Trail Blazers,1465920,1.46592
Furkan Korkmaz,SG,Philadelphia 76ers,1465920,1.46592
Jordan Adams,SG,Memphis Grizzlies,1465080,1.46508
Willy Hernangomez,C,New York Knicks,1435750,1.43575
Kyle Kuzma,PF,Los Angeles Lakers,1423560,1.42356
Tony Bradley,C,Utah Jazz,1414920,1.41492
Derrick White,PG,San Antonio Spurs,1404600,1.4046
Josh Hart,SG,Los Angeles Lakers,1394520,1.39452
Timothe Luwawu-Cabarrot,SG,Philadelphia 76ers,1386600,1.3866
Demetrius Jackson,G,Boston Celtics,1384750,1.38475
Guillermo Hernangomez,C,New York Knicks,135e4,1.35
Sasha Kaun,C,Philadelphia 76ers,1333240,1.33324
Brice Johnson,F,Los Angeles Clippers,1331160,1.33116
Andrew Harrison,PG,Memphis Grizzlies,1312611,1.312611
Wayne Selden,G,Memphis Grizzlies,1312611,1.312611
Deyonta Davis,F,Memphis Grizzlies,1312611,1.312611
Fred VanVleet,PG,Toronto Raptors,1312611,1.312611
Treveon Graham,SG,Charlotte Hornets,1312611,1.312611
Dejounte Murray,G,San Antonio Spurs,1312611,1.312611
Bryn Forbes,SG,San Antonio Spurs,1312611,1.312611
Jake Layman,F,Portland Trail Blazers,1312611,1.312611
Chasson Randle,PG,New York Knicks,1312611,1.312611
Marshall Plumlee,C,New York Knicks,1312611,1.312611
Diamond Stone,C,Atlanta Hawks,1312611,1.312611
Semi Ojeleye,PF,Boston Celtics,1291892,1.291892
Jeremy Evans,SF,Indiana Pacers,1227286,1.227286
CJ Wilcox,SG,Orlando Magic,1209600,1.2096
Livio Jean-Charles,SF,San Antonio Spurs,1188840,1.18884
Frank Mason III,PG,Sacramento Kings,1184385,1.184385
Abdel Nader,SF,Boston Celtics,1167333,1.167333
Tony Wroten,SG,Memphis Grizzlies,1050961,1.050961
Chris Johnson,SF,Utah Jazz,1050961,1.050961
John Jenkins,SG,Phoenix Suns,1050961,1.050961
Andrew Goudelock,PG,Houston Rockets,1015696,1.015696
Anthony Bennett,PF,Brooklyn Nets,1015696,1.015696
Lorenzo Brown,PG,Detroit Pistons,1015696,1.015696
Isaiah Canaan,PG,Chicago Bulls,1015696,1.015696
JaKarr Sampson,SG,Memphis Grizzlies,980431,0.980431
Pablo Prigioni,PG,Houston Rockets,980431,0.980431
Marcus Thornton,SG,Brooklyn Nets,980431,0.980431
Devyn Marble,SF,Los Angeles Clippers,980431,0.980431
Henry Sims,C,Utah Jazz,980431,0.980431
John Lucas III,PG,Minnesota Timberwolves,980431,0.980431
Rasual Butler,SF,Minnesota Timberwolves,980431,0.980431
Jordan Farmar,PG,Sacramento Kings,980431,0.980431
Greg Stiemsma,C,Portland Trail Blazers,980431,0.980431
Lou Amundson,PF,New York Knicks,980431,0.980431
Robbie Hummel,SF,Denver Nuggets,980431,0.980431
Will Bynum,PG,Atlanta Hawks,980431,0.980431
Rade Zagorac,SG,Memphis Grizzlies,95e4,0.95
Ike Anigbogu,C,Indiana Pacers,95e4,0.95
Reggie Williams,SF,New Orleans Pelicans,895197,0.895197
D.J. Stephens,SG,Memphis Grizzlies,874636,0.874636
D.J. Kennedy,SG,Memphis Grizzlies,874636,0.874636
Cliff Alexander,PF,Orlando Magic,874636,0.874636
Nick Johnson,SG,Orlando Magic,874636,0.874636
Kevin Murphy,SG,Orlando Magic,874636,0.874636
Casper Ware,PG,Washington Wizards,874636,0.874636
J.J. O'Brien,SF,Milwaukee Bucks,874636,0.874636
Aaron Harrison,SG,Charlotte Hornets,874636,0.874636
Christian Wood,PF,Charlotte Hornets,874636,0.874636
Duje Dukan,PF,Sacramento Kings,874636,0.874636
Grant Jerrett,PF,Portland Trail Blazers,874636,0.874636
Travis Wear,SF,Los Angeles Lakers,874636,0.874636
John Holland,SG,Cleveland Cavaliers,874636,0.874636
R.J. Hunter,SG,Chicago Bulls,864346,0.864346
Cameron Oliver,PF,Houston Rockets,815615,0.815615
Zhou Qi,PF,Houston Rockets,815615,0.815615
Sterling Brown,G,Milwaukee Bucks,815615,0.815615
Dwayne Bacon,SG,Charlotte Hornets,815615,0.815615
Brandon Paul,SG,San Antonio Spurs,815615,0.815615
Davon Reed,SG,Phoenix Suns,815615,0.815615
Maximilian Kleber,F,Dallas Mavericks,815615,0.815615
Daniel Theis,PF,Boston Celtics,815615,0.815615
Tyler Dorsey,SG,Atlanta Hawks,815615,0.815615
Matt Costello,SF,San Antonio Spurs,543471,0.543471
Vince Hunter,SF,Memphis Grizzlies,543471,0.543471
Scott Wood,SG,Golden State Warriors,543471,0.543471
Egidijus Mockevicius,PF,Brooklyn Nets,543471,0.543471
Rasheed Sulaimon,G,Charlotte Hornets,543471,0.543471
Andrew Andrews,G,Charlotte Hornets,543471,0.543471
E.J. Singler,SF,Toronto Raptors,543471,0.543471
Drew Crawford,SG,Toronto Raptors,543471,0.543471
Isaiah Cousins,PG,Sacramento Kings,543471,0.543471
Julian Jacobs,PG,Los Angeles Lakers,543471,0.543471
J.P. Tokoto,SG,New York Knicks,543471,0.543471
Maurice Ndour,SF,New York Knicks,543471,0.543471
Thomas Walkup,SG,Chicago Bulls,543471,0.543471
Jalen Jones,SF,Boston Celtics,543471,0.543471
Richard Solomon,PF,Atlanta Hawks,543471,0.543471
Jonathan Gibson,PG,Dallas Mavericks,469943,0.469943
Toney Douglas,PG,Memphis Grizzlies,379159,0.379159
Lamar Patterson,SG,Atlanta Hawks,246956,0.246956
Andrew Bogut,C,Cleveland Cavaliers,242224,0.242224
Larry Sanders,PF,Cleveland Cavaliers,207722,0.207722
Ray McCallum,PG,Charlotte Hornets,121112,0.121112
Manny Harris,PG,Dallas Mavericks,115344,0.115344
Mike Tobey,C,Charlotte Hornets,67135,0.067135
Anthony Brown,SF,Orlando Magic,57672,0.057672
Justin Harper,PF,Philadelphia 76ers,57672,0.057672
Jarell Eddie,SG,Phoenix Suns,57672,0.057672
Alonzo Gee,SF,Denver Nuggets,57672,0.057672
Jarrett Jack,PG,New Orleans Pelicans,57672,0.057672
Pierre Jackson,PG,Dallas Mavericks,31969,0.031969
Kevin Durant,SF,Golden State Warriors,265e5,26.5
James Harden,PG,Houston Rockets,265e5,26.5
Russell Westbrook,PG,Oklahoma City Thunder,265e5,26.5
